month_date,year,month,total_deaths,percent_complete
2015-01-01,2015,January,5766.0,100.0
2015-02-01,2015,February,6079.0,100.0
2015-03-01,2015,March,6390.0,100.0
2015-04-01,2015,April,6868.0,100.0
2015-05-01,2015,May,7254.0,100.0
2015-06-01,2015,June,7551.0,100.0
2015-07-01,2015,July,7890.0,100.0
2015-08-01,2015,August,8216.0,100.0
2015-09-01,2015,September,8669.0,100.0
2015-10-01,2015,October,9101.0,100.0
2015-11-01,2015,November,9397.0,100.0
2015-12-01,2015,December,9610.0,100.0
2016-01-01,2016,January,9946.0,100.0
2016-02-01,2016,February,10585.0,100.0
2016-03-01,2016,March,11351.0,100.0
2016-04-01,2016,April,12048.0,100.0
2016-05-01,2016,May,12802.0,100.0
2016-06-01,2016,June,13562.0,100.0
2016-07-01,2016,July,14417.0,100.0
2016-08-01,2016,August,15256.0,100.0
2016-09-01,2016,September,16111.0,100.0
2016-10-01,2016,October,17027.0,100.0
2016-11-01,2016,November,18171.0,100.0
2016-12-01,2016,December,19500.0,100.0
2017-01-01,2017,January,20932.0,100.0
2017-02-01,2017,February,21844.0,100.0
2017-03-01,2017,March,22671.0,100.0
2017-04-01,2017,April,23371.0,100.0
2017-05-01,2017,May,24168.0,100.0
2017-06-01,2017,June,25062.0,100.0
2017-07-01,2017,July,25748.0,100.0
2017-08-01,2017,August,26577.0,100.0
2017-09-01,2017,September,27358.0,100.0
2017-10-01,2017,October,27876.0,100.0
2017-11-01,2017,November,28281.0,100.0
2017-12-01,2017,December,28659.0,100.0
2018-01-01,2018,January,28731.0,100.0
2018-02-01,2018,February,28811.0,100.0
2018-03-01,2018,March,29120.0,100.0
2018-04-01,2018,April,29453.0,100.0
2018-05-01,2018,May,29777.0,100.0
2018-06-01,2018,June,30158.0,100.0
2018-07-01,2018,July,30575.0,100.0
2018-08-01,2018,August,30884.0,100.0
2018-09-01,2018,September,30991.0,100.0
2018-10-01,2018,October,31262.0,100.0
2018-11-01,2018,November,31426.0,100.0
2018-12-01,2018,December,31525.0,100.0
2019-01-01,2019,January,31585.0,100.0
2019-02-01,2019,February,31754.0,100.0
2019-03-01,2019,March,32019.0,100.0
2019-04-01,2019,April,32197.0,100.0
2019-05-01,2019,May,32402.0,100.0
2019-06-01,2019,June,32594.0,100.0
2019-07-01,2019,July,33035.0,100.0
2019-08-01,2019,August,33514.0,100.0
2019-09-01,2019,September,34057.0,100.0
2019-10-01,2019,October,34768.0,100.0
2019-11-01,2019,November,35677.0,100.0
2019-12-01,2019,December,36603.0,100.0
2020-01-01,2020,January,37579.0,100.0
2020-02-01,2020,February,38712.0,100.0
2020-03-01,2020,March,40006.0,100.0
2020-04-01,2020,April,42163.0,100.0
2020-05-01,2020,May,45438.0,100.0
2020-06-01,2020,June,47744.0,100.0
2020-07-01,2020,July,49794.0,100.0
2020-08-01,2020,August,51653.0,100.0
2020-09-01,2020,September,53243.0,100.0
2020-10-01,2020,October,54472.0,100.0
2020-11-01,2020,November,55672.0,100.0
2020-12-01,2020,December,56894.0,100.0
2021-01-01,2021,January,58908.0,100.0
2021-02-01,2021,February,60159.0,100.0
2021-03-01,2021,March,62195.0,100.0
2021-04-01,2021,April,63591.0,100.0
2021-05-01,2021,May,63642.0,100.0
2021-06-01,2021,June,64378.0,100.0
2021-07-01,2021,July,65305.0,100.0
2021-08-01,2021,August,66444.0,100.0
2021-09-01,2021,September,67716.0,100.0
2021-10-01,2021,October,69058.0,100.0
2021-11-01,2021,November,70049.0,100.0
2021-12-01,2021,December,71143.0,100.0
2022-01-01,2022,January,71570.0,100.0
2022-02-01,2022,February,72519.0,100.0
2022-03-01,2022,March,72614.0,100.0
2022-04-01,2022,April,72263.0,100.0
2022-05-01,2022,May,72155.0,100.0
2022-06-01,2022,June,72215.0,100.0
2022-07-01,2022,July,72536.0,100.0
2022-08-01,2022,August,72765.0,100.0
2022-09-01,2022,September,72843.0,100.0
2022-10-01,2022,October,73400.0,100.0
2022-11-01,2022,November,74012.0,100.0
2022-12-01,2022,December,74829.0,100.0
2023-01-01,2023,January,75390.0,100.0
2023-02-01,2023,February,75548.0,100.0
2023-03-01,2023,March,75993.0,100.0
2023-04-01,2023,April,76683.0,100.0
2023-05-01,2023,May,77375.0,100.0
2023-06-01,2023,June,77695.0,100.0
2023-07-01,2023,July,77693.0,100.0
2023-08-01,2023,August,77581.0,100.0
2023-09-01,2023,September,77201.0,100.0
2023-10-01,2023,October,76373.0,100.0
2023-11-01,2023,November,75367.0,100.0
2023-12-01,2023,December,74091.0,100.0
2024-01-01,2024,January,72718.0,100.0
2024-02-01,2024,February,71521.0,100.0
2024-03-01,2024,March,69626.0,100.0
2024-04-01,2024,April,67618.0,100.0
2024-05-01,2024,May,65374.0,100.0
2024-06-01,2024,June,63313.0,100.0
2024-07-01,2024,July,60783.0,100.0
2024-08-01,2024,August,58042.0,100.0
2024-09-01,2024,September,55391.0,100.0
2024-10-01,2024,October,52876.0,100.0
2024-11-01,2024,November,50725.0,100.0
2024-12-01,2024,December,48662.0,100.0
2025-01-01,2025,January,47043.0,100.0
2025-02-01,2025,February,45588.0,100.0
2025-03-01,2025,March,44643.0,100.0
2025-04-01,2025,April,43570.0,100.0
2025-05-01,2025,May,42534.0,100.0
2025-06-01,2025,June,41596.0,100.0
2025-07-01,2025,July,41001.0,100.0
2025-08-01,2025,August,40384.0,100.0
2025-09-01,2025,September,40022.0,100.0
2025-10-01,2025,October,39519.0,100.0
2025-11-01,2025,November,39053.0,100.0
2025-12-01,2025,December,38462.0,100.0
2026-01-01,2026,January,37683.0,100.0
2026-02-01,2026,February,36911.0,100.0
2026-03-01,2026,March,35603.0,100.0
2026-04-01,2026,April,34523.0,100.0
