region_name,month_date,year,month,total_deaths
Midwest,2015-01-01,2015,January,85.0
Midwest,2015-02-01,2015,February,183.0
Midwest,2015-03-01,2015,March,318.0
Midwest,2015-04-01,2015,April,1050.0
Midwest,2015-05-01,2015,May,1135.0
Midwest,2015-06-01,2015,June,1167.0
Midwest,2015-07-01,2015,July,1224.0
Midwest,2015-08-01,2015,August,1272.0
Midwest,2015-09-01,2015,September,1358.0
Midwest,2015-10-01,2015,October,1457.0
Midwest,2015-11-01,2015,November,1541.0
Midwest,2015-12-01,2015,December,1610.0
Midwest,2016-01-01,2016,January,1720.0
Midwest,2016-02-01,2016,February,1964.0
Midwest,2016-03-01,2016,March,2117.0
Midwest,2016-04-01,2016,April,2265.0
Midwest,2016-05-01,2016,May,2474.0
Midwest,2016-06-01,2016,June,2655.0
Midwest,2016-07-01,2016,July,2848.0
Midwest,2016-08-01,2016,August,3002.0
Midwest,2016-09-01,2016,September,3169.0
Midwest,2016-10-01,2016,October,3270.0
Midwest,2016-11-01,2016,November,3407.0
Midwest,2016-12-01,2016,December,3620.0
Midwest,2017-01-01,2017,January,3890.0
Midwest,2017-02-01,2017,February,4153.0
Midwest,2017-03-01,2017,March,4219.0
Midwest,2017-04-01,2017,April,4386.0
Midwest,2017-05-01,2017,May,4538.0
Midwest,2017-06-01,2017,June,4678.0
Midwest,2017-07-01,2017,July,4795.0
Midwest,2017-08-01,2017,August,4935.0
Midwest,2017-09-01,2017,September,5136.0
Midwest,2017-10-01,2017,October,5278.0
Midwest,2017-11-01,2017,November,6050.0
Midwest,2017-12-01,2017,December,5419.0
Midwest,2018-01-01,2018,January,5278.0
Midwest,2018-02-01,2018,February,5801.0
Midwest,2018-03-01,2018,March,5853.0
Midwest,2018-04-01,2018,April,5098.0
Midwest,2018-05-01,2018,May,5089.0
Midwest,2018-06-01,2018,June,5081.0
Midwest,2018-07-01,2018,July,5122.0
Midwest,2018-08-01,2018,August,5152.0
Midwest,2018-09-01,2018,September,5065.0
Midwest,2018-10-01,2018,October,7419.0
Midwest,2018-11-01,2018,November,7375.0
Midwest,2018-12-01,2018,December,7445.0
Midwest,2019-01-01,2019,January,7450.0
Midwest,2019-02-01,2019,February,7404.0
Midwest,2019-03-01,2019,March,8133.0
Midwest,2019-04-01,2019,April,8171.0
Midwest,2019-05-01,2019,May,8308.0
Midwest,2019-06-01,2019,June,8298.0
Midwest,2019-07-01,2019,July,8317.0
Midwest,2019-08-01,2019,August,8431.0
Midwest,2019-09-01,2019,September,7131.0
Midwest,2019-10-01,2019,October,7213.0
Midwest,2019-11-01,2019,November,7413.0
Midwest,2019-12-01,2019,December,7540.0
Midwest,2020-01-01,2020,January,7731.0
Midwest,2020-02-01,2020,February,8004.0
Midwest,2020-03-01,2020,March,8122.0
Midwest,2020-04-01,2020,April,8501.0
Midwest,2020-05-01,2020,May,10774.0
Midwest,2020-06-01,2020,June,11347.0
Midwest,2020-07-01,2020,July,9938.0
Midwest,2020-08-01,2020,August,10128.0
Midwest,2020-09-01,2020,September,12212.0
Midwest,2020-10-01,2020,October,12431.0
Midwest,2020-11-01,2020,November,12552.0
Midwest,2020-12-01,2020,December,12806.0
Midwest,2021-01-01,2021,January,13149.0
Midwest,2021-02-01,2021,February,13888.0
Midwest,2021-03-01,2021,March,13640.0
Midwest,2021-04-01,2021,April,13910.0
Midwest,2021-05-01,2021,May,14405.0
Midwest,2021-06-01,2021,June,14331.0
Midwest,2021-07-01,2021,July,14545.0
Midwest,2021-08-01,2021,August,14850.0
Midwest,2021-09-01,2021,September,15034.0
Midwest,2021-10-01,2021,October,15219.0
Midwest,2021-11-01,2021,November,15429.0
Midwest,2021-12-01,2021,December,15571.0
Midwest,2022-01-01,2022,January,15839.0
Midwest,2022-02-01,2022,February,16024.0
Midwest,2022-03-01,2022,March,15790.0
Midwest,2022-04-01,2022,April,15556.0
Midwest,2022-05-01,2022,May,15416.0
Midwest,2022-06-01,2022,June,15427.0
Midwest,2022-07-01,2022,July,15357.0
Midwest,2022-08-01,2022,August,15357.0
Midwest,2022-09-01,2022,September,15283.0
Midwest,2022-10-01,2022,October,15380.0
Midwest,2022-11-01,2022,November,15410.0
Midwest,2022-12-01,2022,December,15458.0
Midwest,2023-01-01,2023,January,15408.0
Midwest,2023-02-01,2023,February,15403.0
Midwest,2023-03-01,2023,March,15538.0
Midwest,2023-04-01,2023,April,15606.0
Midwest,2023-05-01,2023,May,15735.0
Midwest,2023-06-01,2023,June,15674.0
Midwest,2023-07-01,2023,July,15545.0
Midwest,2023-08-01,2023,August,15405.0
Midwest,2023-09-01,2023,September,15288.0
Midwest,2023-10-01,2023,October,14927.0
Midwest,2023-11-01,2023,November,14584.0
Midwest,2023-12-01,2023,December,14292.0
Midwest,2024-01-01,2024,January,13869.0
Midwest,2024-02-01,2024,February,13490.0
